#camion 1
1 2489 16015 2591 20729.2 914 11176 10432.6 10296.5 2400 16000 2447
#pallet 4
1 800 1200 144 25.0
2 1000 1200 144 35.0
3 800 600 144 9.5
4 1000 600 144 14.0
#productos 13
1 690 171 186 254 3.35 0 0 1 690 24  30  12  15 
2 3126 185 179 238 3.67 0 0 1 3126 24  30  12  15 
3 2859 184 146 198 2.23 0 0 1 2858 32  42  16  20 
4 632 118 180 241 2.30 0 0 1 632 41  52  20  26 
5 343 159 235 311 5.20 0 0 1 343 25  30  11  13 
6 1934 191 191 254 3.67 0 0 1 1932 24  30  12  15 
7 1983 135 213 317 4.25 0 0 1 1983 28  37  11  15 
8 72 124 227 325 4.30 0 0 1 72 30  40  14  19 
9 230 159 179 238 3.20 0 0 1 230 30  38  15  18 
10 230 160 180 241 3.20 0 0 1 230 30  38  15  18 
11 101 186 180 241 3.67 0 0 1 99 24  30  12  15 
12 170 273 155 201 3.30 0 0 1 170 17  24  7  10 
13 1191 270 151 197 3.30 0 0 1 1191 17  25  7  11 
81758615060 49536524928
